"customer","sale_date","seller"
Joseph White,1992-11-12,Albert Ringer
Austin Jai,1992-12-12,Innes del Castillo
Lauren Cooper,1992-10-08,Morningstar Greene
Clarence Zeng,1992-12-02,Abraham Bennet
Preston Perez,1992-11-19,Heather McBadden
Eduardo Walker,1992-10-04,Heather McBadden
Shaun Andersen,1992-09-24,Innes del Castillo
Jenny Liang,1992-10-22,Dean Straight
Aaron Alexander,1992-12-06,Abraham Bennet
Katherine Cook,1992-12-14,Livia Karsen
Caleb Li,1992-12-12,Reginald Blotchet-Halls
Morgan Hill,1992-10-20,Albert Ringer
Deb Waldal,1992-10-02,Dean Straight
Robin Ortega,1992-09-23,Morningstar Greene
Isabella Evans,1992-11-21,Johnson White
Timothy Sanders,1992-12-11,Cheryl Carson
Joseph White,1992-12-01,Albert Ringer
Austin Jai,1992-09-28,Innes del Castillo
Lauren Cooper,1992-10-30,Morningstar Greene
Clarence Zeng,1992-12-08,Abraham Bennet
Preston Perez,1992-10-28,Heather McBadden
Eduardo Walker,1992-12-19,Heather McBadden
Shaun Andersen,1992-12-12,Innes del Castillo
Jenny Liang,1992-11-08,Dean Straight
Aaron Alexander,1992-09-21,Abraham Bennet
Katherine Cook,1992-11-29,Livia Karsen
Caleb Li,1992-11-13,Reginald Blotchet-Halls
Morgan Hill,1992-11-26,Albert Ringer
Deb Waldal,1992-12-05,Dean Straight
Willie Gao,1992-10-19,Michael O'Leary
Kathleen Rubio,1992-09-29,Ann Dull
Austin Zhang,1992-10-31,Sheryl Hunter
Mario Rai,1992-09-28,Abraham Bennet
Danny Vazquez,1992-12-13,Charlene Locksley
Olivia Bennett,1992-10-03,Michael O'Leary
Gabrielle price,1992-12-18,Marjorie Green
Tina Lopez,1992-10-07,Dirk Stringer
Jared Gray,1992-12-11,Dirk Stringer
Alicia Chapman,1992-09-26,Charlene Locksley
Levi Prasad,1992-10-09,Michel DeFrance
Caitlin Howard,1992-12-29,Marjorie Green
Micheal Vazquez,1992-09-26,Anne Ringer
Eduardo Butler,1992-12-01,Burt Gringlesby
Shelley Dyck,1992-10-01,Abraham Bennet
Isabella Mitchell,1992-09-25,Michel DeFrance
Willie Gao,1992-11-11,Michael O'Leary
Kathleen Rubio,1992-12-20,Ann Dull
Austin Zhang,1992-10-12,Sheryl Hunter
Mario Rai,1992-12-01,Abraham Bennet
Danny Vazquez,1992-12-02,Charlene Locksley
Olivia Bennett,1992-11-28,Michael O'Leary
Gabrielle price,1992-09-23,Marjorie Green
Tina Lopez,1992-11-01,Dirk Stringer
Jared Gray,1992-10-10,Dirk Stringer
Alicia Chapman,1992-12-07,Charlene Locksley
Levi Prasad,1992-12-09,Michel DeFrance
Caitlin Howard,1992-11-05,Marjorie Green
Micheal Vazquez,1992-11-26,Anne Ringer
Eduardo Butler,1992-10-07,Burt Gringlesby
Shelley Dyck,1992-12-28,Abraham Bennet
Isabella Mitchell,1992-11-12,Michel DeFrance
Willie Gao,1992-12-06,Michael O'Leary
Kathleen Rubio,1992-12-05,Ann Dull
Austin Zhang,1992-10-25,Sheryl Hunter
Mario Rai,1992-09-23,Abraham Bennet
Danny Vazquez,1992-12-10,Charlene Locksley
Olivia Bennett,1992-11-14,Michael O'Leary
Gabrielle price,1992-12-01,Marjorie Green
Tina Lopez,1992-11-21,Dirk Stringer
Jared Gray,1992-10-16,Dirk Stringer
Alicia Chapman,1992-11-28,Charlene Locksley
Levi Prasad,1992-10-30,Michel DeFrance
Caitlin Howard,1992-12-26,Marjorie Green
Micheal Vazquez,1992-09-25,Anne Ringer
Eduardo Butler,1992-12-12,Burt Gringlesby
Shelley Dyck,1992-12-29,Abraham Bennet
Isabella Mitchell,1992-12-20,Michel DeFrance
Willie Gao,1992-10-19,Michael O'Leary
Kathleen Rubio,1992-10-15,Ann Dull
Austin Zhang,1992-10-11,Sheryl Hunter
Robin Ortega,1992-11-07,Morningstar Greene
Isabella Evans,1992-11-10,Johnson White
Timothy Sanders,1992-11-20,Cheryl Carson
Joseph White,1992-12-28,Albert Ringer
Austin Jai,1992-09-26,Innes del Castillo
Lauren Cooper,1992-09-22,Morningstar Greene
Clarence Zeng,1992-09-24,Abraham Bennet
Preston Perez,1992-11-05,Heather McBadden
Eduardo Walker,1992-10-06,Heather McBadden
Virginia Rodriguez,1992-10-21,Johnson White
Julie Jai,1992-09-22,Sheryl Hunter
Andrew Hill,1992-10-16,Stearns MacFeather
Mackenzie Adams,1992-10-09,Innes del Castillo
Dale Holt,1992-10-23,Meander Smith
Randy Zhang,1992-10-18,Marjorie Green
Erik Gutierrez,1992-10-10,Sheryl Hunter
Tabitha Gonzalez,1992-10-14,Reginald Blotchet-Halls
Joe Gutierrez,1992-10-11,Sylvia Panteley
Adriana Vance,1992-11-15,Sylvia Panteley
Krista Gill,1992-12-12,Marjorie Green
Cedric Ma,1992-12-28,Johnson White
Olivia Bennett,1992-11-10,Reginald Blotchet-Halls
Gabrielle price,1992-11-19,Marjorie Green
Tina Lopez,1992-12-21,Dirk Stringer
Jared Gray,1992-10-13,Dirk Stringer
Alicia Chapman,1992-12-13,Charlene Locksley
Levi Prasad,1992-12-22,Michel DeFrance
Caitlin Howard,1992-12-10,Marjorie Green
Micheal Vazquez,1992-10-27,Anne Ringer
Eduardo Butler,1992-10-25,Burt Gringlesby
Shelley Dyck,1992-12-19,Abraham Bennet
Isabella Mitchell,1992-12-29,Michel DeFrance
Willie Gao,1992-10-24,Michael O'Leary
Kathleen Rubio,1992-11-17,Ann Dull
Austin Zhang,1992-11-17,Sheryl Hunter
Mario Rai,1992-11-05,Abraham Bennet
Danny Vazquez,1992-11-24,Charlene Locksley
Olivia Bennett,1992-10-01,Michael O'Leary
Gabrielle price,1992-11-03,Marjorie Green
Alexandria Peterson,1992-10-31,Michael O'Leary
Julian Jenkins,1992-11-24,Michael O'Leary
Brandon Harris,1992-12-08,Ann Dull
Melinda Jimenez,1992-10-28,Dean Straight
Dakota Russell,1992-12-22,Abraham Bennet
Randall Ruiz,1992-12-18,Charlene Locksley
Hailey Rivera,1992-11-08,Cheryl Carson
